Date,Market,Result,Pip,Trend,Price 13:00,Price 16:00,Open Price
12-01-2020,XAUUSD,Loss,-394,Uptrend,,,
12-02-2020,XAUUSD,Profit,883,Uptrend,,,
12-03-2020,XAUUSD,Loss,-312,Uptrend,,,
12-08-2020,XAUUSD,Loss,-54,Uptrend,,,
12-15-2020,XAUUSD,Loss,-22,Uptrend,,,
12-15-2020,XAUUSD,Loss,-178,Uptrend,,,
12-16-2020,XAUUSD,Loss,-224,Uptrend,,,
12-16-2020,XAUUSD,Loss,-43,Uptrend,,,
12-17-2020,XAUUSD,Loss,-301,Uptrend,,,
12-17-2020,XAUUSD,Profit,1055,Uptrend,,,
12-24-2020,XAUUSD,Loss,-209,Uptrend,,,
12-31-2020,XAUUSD,Loss,-12,Uptrend,,,
12-31-2020,XAUUSD,Profit,51,Uptrend,,,
01-05-2021,XAUUSD,Loss,-320,Uptrend,,,
01-19-2021,XAUUSD,Profit,245,Uptrend,,,
01-20-2021,XAUUSD,Profit,1781,Uptrend,,,
01-21-2021,XAUUSD,Loss,-36,Uptrend,,,
01-25-2021,XAUUSD,Loss,-165,Uptrend,,,
01-29-2021,XAUUSD,Loss,-379,Uptrend,,,
01-29-2021,XAUUSD,Profit,28,Uptrend,,,
02-01-2021,XAUUSD,Loss,-304,Uptrend,,,
02-01-2021,XAUUSD,Loss,-309,Uptrend,,,
02-08-2021,XAUUSD,Profit,553,Uptrend,,,
02-08-2021,XAUUSD,Profit,123,Uptrend,,,
02-22-2021,XAUUSD,Profit,63,Uptrend,,,
02-24-2021,XAUUSD,Loss,-97,Uptrend,,,
03-09-2021,XAUUSD,Profit,849,Uptrend,,,
03-09-2021,XAUUSD,Loss,-402,Uptrend,,,
03-10-2021,XAUUSD,Profit,326,Uptrend,,,
03-11-2021,XAUUSD,Loss,-285,Uptrend,,,
03-15-2021,XAUUSD,Loss,-175,Uptrend,,,
03-19-2021,XAUUSD,Profit,26,Uptrend,,,
03-23-2021,XAUUSD,Loss,-49,Uptrend,,,
04-01-2021,XAUUSD,Profit,88,Uptrend,,,
04-06-2021,XAUUSD,Profit,102,Uptrend,,,
04-07-2021,XAUUSD,Loss,-248,Uptrend,,,
04-07-2021,XAUUSD,Profit,27,Uptrend,,,
04-08-2021,XAUUSD,Loss,-254,Uptrend,,,
04-16-2021,XAUUSD,Loss,-156,Uptrend,,,
04-20-2021,XAUUSD,Loss,-55,Uptrend,,,
04-21-2021,XAUUSD,Profit,688,Uptrend,,,
04-21-2021,XAUUSD,Loss,-77,Uptrend,,,
04-22-2021,XAUUSD,Loss,-346,Uptrend,,,
04-27-2021,XAUUSD,Loss,-282,Uptrend,,,
05-03-2021,XAUUSD,Profit,143,Uptrend,,,
05-04-2021,XAUUSD,Profit,342,Uptrend,,,
05-04-2021,XAUUSD,Loss,-125,Uptrend,,,
05-07-2021,XAUUSD,Loss,-171,Uptrend,,,
05-10-2021,XAUUSD,Loss,-292,Uptrend,,,
05-10-2021,XAUUSD,Loss,-111,Uptrend,,,
05-14-2021,XAUUSD,Loss,-215,Uptrend,,,
05-14-2021,XAUUSD,Profit,146,Uptrend,,,
05-17-2021,XAUUSD,Profit,1648,Uptrend,,,
05-18-2021,XAUUSD,Loss,-337,Uptrend,,,
05-21-2021,XAUUSD,Loss,-11,Uptrend,,,
05-24-2021,XAUUSD,Profit,85,Uptrend,,,
05-25-2021,XAUUSD,Profit,521,Uptrend,,,
05-26-2021,XAUUSD,Loss,-114,Uptrend,,,
05-31-2021,XAUUSD,Loss,-18,Uptrend,,,
06-01-2021,XAUUSD,Profit,99,Uptrend,,,
06-23-2021,XAUUSD,Profit,822,Uptrend,,,
06-24-2021,XAUUSD,Loss,-227,Uptrend,,,
07-01-2021,XAUUSD,Loss,-413,Uptrend,,,
07-07-2021,XAUUSD,Profit,92,Uptrend,,,
07-07-2021,XAUUSD,Loss,-161,Uptrend,,,
07-13-2021,XAUUSD,Loss,-253,Uptrend,,,
07-13-2021,XAUUSD,Loss,-40,Uptrend,,,
07-14-2021,XAUUSD,Loss,-320,Uptrend,,,
07-14-2021,XAUUSD,Loss,-122,Uptrend,,,
07-20-2021,XAUUSD,Loss,-342,Uptrend,,,
07-26-2021,XAUUSD,Loss,-152,Uptrend,,,
07-26-2021,XAUUSD,Loss,-125,Uptrend,,,
07-29-2021,XAUUSD,Loss,-26,Uptrend,,,
07-29-2021,XAUUSD,Profit,350,Uptrend,,,
07-30-2021,XAUUSD,Loss,-51,Uptrend,,,
08-05-2021,XAUUSD,Loss,-260,Uptrend,,,
08-05-2021,XAUUSD,Loss,-166,Uptrend,,,
08-12-2021,XAUUSD,Profit,486,Uptrend,,,
08-16-2021,XAUUSD,Profit,108,Uptrend,,,
08-18-2021,XAUUSD,Loss,-194,Uptrend,,,
08-18-2021,XAUUSD,Profit,233,Uptrend,,,
08-19-2021,XAUUSD,Loss,-54,Uptrend,,,
08-23-2021,XAUUSD,Loss,-18,Uptrend,,,
08-24-2021,XAUUSD,Loss,-5,Uptrend,,,
08-30-2021,XAUUSD,Loss,-271,Uptrend,,,
08-30-2021,XAUUSD,Loss,-111,Uptrend,,,
08-31-2021,XAUUSD,Profit,281,Uptrend,,,
09-01-2021,XAUUSD,Profit,297,Uptrend,,,
09-03-2021,XAUUSD,Profit,116,Uptrend,,,
09-06-2021,XAUUSD,Profit,29,Uptrend,,,
09-10-2021,XAUUSD,Loss,-241,Uptrend,,,
09-15-2021,XAUUSD,Loss,-231,Uptrend,,,
09-15-2021,XAUUSD,Loss,-130,Uptrend,,,
09-22-2021,XAUUSD,Loss,-111,Uptrend,,,
09-29-2021,XAUUSD,Profit,161,Uptrend,,,
10-04-2021,XAUUSD,Profit,392,Uptrend,,,
10-04-2021,XAUUSD,Profit,117,Uptrend,,,
10-07-2021,XAUUSD,Profit,403,Uptrend,,,
10-13-2021,XAUUSD,Profit,2666,Uptrend,,,
10-13-2021,XAUUSD,Loss,-115,Uptrend,,,
10-14-2021,XAUUSD,Loss,-151,Uptrend,,,
10-20-2021,XAUUSD,Loss,-33,Uptrend,,,
10-22-2021,XAUUSD,Profit,284,Uptrend,,,
10-28-2021,XAUUSD,Profit,360,Uptrend,,,
11-05-2021,XAUUSD,Profit,822,Uptrend,,,
11-08-2021,XAUUSD,Profit,26,Uptrend,,,
11-08-2021,XAUUSD,Loss,-162,Uptrend,,,
11-09-2021,XAUUSD,Loss,-57,Uptrend,,,
11-15-2021,XAUUSD,Loss,-200,Uptrend,,,
11-16-2021,XAUUSD,Profit,40,Uptrend,,,
11-19-2021,XAUUSD,Loss,-203,Uptrend,,,
11-19-2021,XAUUSD,Loss,-96,Uptrend,,,
11-19-2021,XAUUSD,Loss,-244,Uptrend,,,
11-26-2021,XAUUSD,Loss,-368,Uptrend,,,
11-26-2021,XAUUSD,Loss,-60,Uptrend,,,
11-26-2021,XAUUSD,Loss,-246,Uptrend,,,
12-06-2021,XAUUSD,Loss,-269,Uptrend,,,
12-06-2021,XAUUSD,Loss,-153,Uptrend,,,
12-07-2021,XAUUSD,Profit,214,Uptrend,,,
12-08-2021,XAUUSD,Loss,-131,Uptrend,,,
12-14-2021,XAUUSD,Profit,204,Uptrend,,,
12-14-2021,XAUUSD,Loss,-77,Uptrend,,,
12-16-2021,XAUUSD,Profit,130,Uptrend,,,
12-16-2021,XAUUSD,Loss,-95,Uptrend,,,
12-21-2021,XAUUSD,Loss,-187,Uptrend,,,
12-21-2021,XAUUSD,Loss,-179,Uptrend,,,
12-23-2021,XAUUSD,Profit,147,Uptrend,,,
12-27-2021,XAUUSD,Profit,23,Uptrend,,,
12-27-2021,XAUUSD,Profit,194,Uptrend,,,
12-28-2021,XAUUSD,Loss,-64,Uptrend,,,
12-28-2021,XAUUSD,Profit,47,Uptrend,,,
12-28-2021,XAUUSD,Loss,-209,Uptrend,,,
12-28-2021,XAUUSD,Loss,-180,Uptrend,,,
12-31-2021,XAUUSD,Profit,218,Uptrend,,,
12-31-2021,XAUUSD,Loss,-175,Uptrend,,,
12-31-2021,XAUUSD,Loss,-258,Uptrend,,,
01-11-2022,XAUUSD,Profit,149,Uptrend,,,
01-13-2022,XAUUSD,Loss,-311,Uptrend,,,
01-14-2022,XAUUSD,Loss,-157,Uptrend,,,
01-24-2022,XAUUSD,Loss,-173,Uptrend,,,
02-01-2022,XAUUSD,Loss,-92,Uptrend,,,
02-07-2022,XAUUSD,Loss,-208,Uptrend,,,
02-07-2022,XAUUSD,Loss,-99,Uptrend,,,
02-08-2022,XAUUSD,Profit,281,Uptrend,,,
02-09-2022,XAUUSD,Loss,-175,Uptrend,,,
02-14-2022,XAUUSD,Profit,363,Uptrend,,,
02-14-2022,XAUUSD,Loss,-67,Uptrend,,,
02-18-2022,XAUUSD,Loss,-210,Uptrend,,,
02-21-2022,XAUUSD,Loss,-156,Uptrend,,,
02-21-2022,XAUUSD,Profit,45,Uptrend,,,
03-01-2022,XAUUSD,Profit,298,Uptrend,,,
03-01-2022,XAUUSD,Profit,29,Uptrend,,,
03-02-2022,XAUUSD,Loss,-395,Uptrend,,,
03-03-2022,XAUUSD,Loss,-234,Uptrend,,,
03-07-2022,XAUUSD,Loss,-517,Uptrend,,,
03-18-2022,XAUUSD,Loss,-79,Uptrend,,,
03-23-2022,XAUUSD,Profit,124,Uptrend,,,
03-23-2022,XAUUSD,Profit,536,Uptrend,,,
