Date,Market,Result,Pip,Trend,Price 13:00,Price 16:00,Open Price
04-28-2022,XAUUSD,Loss,-406,Downtrend,,,
04-28-2022,XAUUSD,Loss,-93,Downtrend,,,
05-02-2022,XAUUSD,Profit,26,Downtrend,,,
05-02-2022,XAUUSD,Loss,-217,Downtrend,,,
05-04-2022,XAUUSD,Loss,-294,Downtrend,,,
05-09-2022,XAUUSD,Profit,106,Downtrend,,,
05-09-2022,XAUUSD,Loss,-51,Downtrend,,,
05-12-2022,XAUUSD,Profit,213,Downtrend,,,
05-13-2022,XAUUSD,Loss,-301,Downtrend,,,
05-13-2022,XAUUSD,Profit,225,Downtrend,,,
05-16-2022,XAUUSD,Loss,-240,Downtrend,,,
05-18-2022,XAUUSD,Loss,-407,Downtrend,,,
05-26-2022,XAUUSD,Loss,-148,Downtrend,,,
05-26-2022,XAUUSD,Loss,-187,Downtrend,,,
05-31-2022,XAUUSD,Loss,-109,Downtrend,,,
06-06-2022,XAUUSD,Profit,355,Downtrend,,,
06-06-2022,XAUUSD,Loss,-8,Downtrend,,,
06-07-2022,XAUUSD,Loss,-169,Downtrend,,,
06-09-2022,XAUUSD,Loss,-274,Downtrend,,,
06-14-2022,XAUUSD,Profit,1,Downtrend,,,
06-16-2022,XAUUSD,Loss,-207,Downtrend,,,
06-16-2022,XAUUSD,Loss,-226,Downtrend,,,
06-20-2022,XAUUSD,Loss,-137,Downtrend,,,
06-21-2022,XAUUSD,Loss,-1,Downtrend,,,
06-21-2022,XAUUSD,Profit,87,Downtrend,,,
06-23-2022,XAUUSD,Loss,-307,Downtrend,,,
06-23-2022,XAUUSD,Profit,676,Downtrend,,,
06-24-2022,XAUUSD,Loss,-443,Downtrend,,,
06-24-2022,XAUUSD,Profit,38,Downtrend,,,
06-28-2022,XAUUSD,Profit,63,Downtrend,,,
06-30-2022,XAUUSD,Loss,-465,Downtrend,,,
06-30-2022,XAUUSD,Profit,726,Downtrend,,,
06-30-2022,XAUUSD,Loss,-155,Downtrend,,,
07-01-2022,XAUUSD,Loss,-344,Downtrend,,,
07-06-2022,XAUUSD,Profit,239,Downtrend,,,
07-07-2022,XAUUSD,Loss,-188,Downtrend,,,
07-13-2022,XAUUSD,Profit,130,Downtrend,,,
07-15-2022,XAUUSD,Loss,-368,Downtrend,,,
